#name	Subject1
Hs.5476	0.296
Hs.513489	0.001
Hs.23723	0.444
Hs.72916	-0.065
Hs.251664	0.345
Hs.164467	0.4735
Hs.180533	0.071
Hs.21902	-0.016
Hs.89657	0.367
Hs.148576	0.465
Hs.279669	0.354
Hs.10724	-0.085
Hs.128638	-0.101
Hs.121150	0.169
Hs.156784	0.465
Hs.194698	-0.18
Hs.187199	-0.15
Hs.23047	-0.187
Hs.211601	-0.23
Hs.117105	-0.069
Hs.433732	-0.526
Hs.512847	0.164
Hs.164347	0.154
Hs.322914	0.348
Hs.500300	0.513
Hs.315235	-0.1195
Hs.2890	0.174
Hs.412836	-0.0695
Hs.169246	-0.289
Hs.75258	0.0435
Hs.407934	-0.535
Hs.386205	-0.564
Hs.416854	-0.155
Hs.166120	0.073
Hs.458425	0.385
Hs.232008	0.117
Hs.376200	-0.341
Hs.390758	-0.0045
Hs.132955	-0.1715
Hs.153863	-0.01
Hs.438790	-0.011
Hs.117715	0.02
Hs.80680	0.007
Hs.285346	0.184
Hs.109672	0.263
Hs.143436	0.098
Hs.28853	0.596
Hs.169300	-0.0753333333333333
Hs.437058	0.018
Hs.227835	0.04
Hs.75616	0.076
Hs.49421	0.335
Hs.444289	0.341
Hs.181161	-0.596
Hs.509629	0.243
Hs.332115	0.0335
Hs.367833	-0.42
Hs.223852	0.186
Hs.177687	0.233
Hs.103124	0.121
Hs.307033	0.023
Hs.150825	0.045
Hs.201897	0.144
Hs.43388	-0.554
Hs.21486	-0.102
Hs.112667	-0.128
Hs.406602	0.344
Hs.13580	-0.291
Hs.25812	-0.2205
Hs.145384	0.101
Hs.154140	-0.251
Hs.437783	-0.098
Hs.334633	0.126
Hs.134846	-0.072
Hs.63236	0.074
Hs.279832	0.136
Hs.89648	0.815
Hs.446619	0.089
Hs.154151	-0.23
Hs.5302	0.372
Hs.133261	-0.067
Hs.316977	0.29
Hs.482384	0.561
Hs.418012	0.057
Hs.270532	0.247
Hs.1695	0.033
Hs.385945	-0.5
Hs.132327	-0.024
Hs.33286	0.2635
Hs.528308	0.026
Hs.12142	0.239
Hs.411433	-0.278
Hs.267659	0.108
Hs.273219	0.012
Hs.298735	0.896
Hs.82548	0.11
Hs.59773	-0.017
Hs.465061	-0.129
Hs.459128	-0.363
Hs.444324	-0.473
Hs.67197	-0.264
Hs.407755	-0.031
Hs.13775	-0.126
Hs.405590	-0.015
Hs.43481	0.21
Hs.82030	-0.155
Hs.416385	-0.263
Hs.530762	-0.04
Hs.148090	0.15
Hs.85445	0.13
Hs.2998	0.183
Hs.514	-0.614
Hs.254321	-0.588
Hs.12913	-0.1195
Hs.176977	0.218
Hs.109225	0.407
Hs.132942	-0.35
Hs.22315	-0.077
Hs.283551	0.181
Hs.335293	0.626
Hs.365207	0.065
Hs.1042	0.132
Hs.131127	-0.298
Hs.104613	-0.0365
Hs.7739	-0.186
Hs.191389	-0.262
Hs.104624	-0.183
Hs.94300	-0.288
Hs.334534	0.1645
Hs.16360	-0.06
Hs.445778	0.008
Hs.20499	0.14
Hs.204891	-0.015
Hs.26163	-0.249
Hs.435675	-0.313
Hs.498147	0.139
Hs.334131	0.053
Hs.80658	-0.153
Hs.116419	0.085
Hs.76901	0.28
Hs.125124	0.251
Hs.72924	0.02
Hs.298530	-0.027
Hs.236646	0.259
Hs.380403	-0.16275
Hs.170195	0.049
Hs.81964	0.371
Hs.421576	0.924
Hs.3376	0.686
Hs.8108	-0.425
Hs.356605	0.219
Hs.181202	-0.225
Hs.207134	-0.00933333333333334
Hs.194498	0.187
Hs.20136	-0.198
Hs.106469	-0.523
Hs.417029	-0.127
Hs.172816	0.068
Hs.411490	-0.248
Hs.789	-0.338
Hs.20159	0.169
Hs.433616	0.04
Hs.433795	0.355
Hs.356427	0.172
Hs.220629	-0.278
Hs.389488	-0.414
Hs.386467	0.616
Hs.6510	-0.142
Hs.151411	0.654
Hs.403933	-0.206
Hs.83636	-0.077
Hs.92683	-0.409
Hs.408182	0.112
Hs.310511	-0.081
Hs.274470	0.516
Hs.162757	-0.03
Hs.1600	0.604
Hs.20315	0.08
Hs.47011	0.054
Hs.443109	0.155
Hs.444926	0.062
Hs.134643	0.178
Hs.62264	0.079
Hs.301839	-0.066
Hs.406068	0.438
Hs.418175	0.076
Hs.282871	-0.256
Hs.18528	0.105
Hs.144439	-0.114
Hs.5301	0.006
Hs.79019	-0.505
Hs.184482	0.34
Hs.418057	-0.108
Hs.128316	0.247333333333333
Hs.28780	0.091
Hs.362994	-0.1
Hs.425777	0.141
Hs.414629	0.096
Hs.256297	0.267
Hs.105941	-0.598
Hs.356554	0.224
Hs.189527	-0.068
Hs.417369	0.1255
Hs.35120	-0.063
Hs.279914	0.349
Hs.512700	0.185
Hs.237506	-0.0395
Hs.352588	-0.559
Hs.43687	0.569
Hs.273344	-0.366
Hs.246914	-0.061
Hs.16229	-0.542
Hs.160275	0.7015
Hs.373623	0.161
Hs.78601	0.235
Hs.443120	-0.0175
Hs.259212	-0.203
Hs.374477	-0.154
Hs.59034	0.026
Hs.421907	0.002
Hs.167405	-0.254
Hs.433512	-0.253333333333333
Hs.27239	0.1995
Hs.241535	0.127
Hs.103853	-0.061
Hs.234569	0.121
Hs.257266	-0.06
Hs.23367	-0.141
Hs.89436	-0.212
Hs.10842	0.215
Hs.444445	0.261
Hs.444207	0.322
Hs.2171	-0.01
Hs.198241	-0.216
Hs.79299	-0.282
Hs.521649	0.0805
Hs.25155	0.038
Hs.151738	0.3185
Hs.120026	0.096
Hs.1650	-0.503
Hs.28914	0.102
Hs.42712	0.008
Hs.439320	-0.412
Hs.528327	0.290333333333333
Hs.440899	0.039
Hs.323562	-0.084
Hs.125180	0.252666666666667
Hs.173933	0.374666666666667
Hs.23348	0.14
Hs.9691	-0.631
Hs.133206	0.371
Hs.189690	-0.528
Hs.90093	-0.00666666666666665
Hs.2006	0.272
Hs.8136	0.175
Hs.57687	0.382
Hs.77667	0.115
Hs.9075	-0.4815
Hs.459132	-0.007
Hs.438649	-0.14
